ΚΩΔΙΚΟΣ (ΛΥΚ),ΛΥΚΕΙΟ,ΤΥΠΟΣ,ΤΥΠΟΣ,ΚΩΔΙΚΟΣ (ΔΔΕ),ΔΔΕ,Δ-ΝΣΗ (ΛΥΚ),ΠΟΛΗ (ΛΥΚ),ΤΚ (ΛΥΚ)
1,1ο  ΓΕΝ. ΛΥΚ ΑΓΡΙΝΙΟΥ,0,ΗΜΕΡΗΣΙΟ ,100,Δ/ΝΣΗ Δ.Ε. ΑΙΤ-ΝΙΑΣ,ΠΑΠΑΣΤΡΑΤΟΥ,ΑΓΡΙΝΙΟ,30100
2,2ο  ΓΕΝ. ΛΥΚ ΑΓΡΙΝΙΟΥ,0,ΗΜΕΡΗΣΙΟ ,100,Δ/ΝΣΗ Δ.Ε. ΑΙΤ-ΝΙΑΣ,ΠΑΠΑΣΤΡΑΤΟΥ,ΑΓΡΙΝΙΟ,30100
3,3ο  ΓΕΝ. ΛΥΚ ΑΓΡΙΝΙΟΥ,0,ΗΜΕΡΗΣΙΟ ,100,Δ/ΝΣΗ Δ.Ε. ΑΙΤ-ΝΙΑΣ,ΠΑΠΑΣΤΡΑΤΟΥ,ΑΓΡΙΝΙΟ,30100
4,4ο  ΓΕΝ. ΛΥΚ ΑΓΡΙΝΙΟΥ,0,ΗΜΕΡΗΣΙΟ ,100,Δ/ΝΣΗ Δ.Ε. ΑΙΤ-ΝΙΑΣ,ΠΑΠΑΣΤΡΑΤΟΥ,ΑΓΡΙΝΙΟ,30100
5,5ο  ΓΕΝ. ΛΥΚ ΑΓΡΙΝΙΟΥ,0,ΗΜΕΡΗΣΙΟ ,100,Δ/ΝΣΗ Δ.Ε. ΑΙΤ-ΝΙΑΣ,ΠΑΠΑΣΤΡΑΤΟΥ,ΑΓΡΙΝΙΟ,30100
6,1ο  ΕΠΣΕΡΙΝΟ ΛΥΚ ΑΓΡΙΝΙΟΥ,1,ΕΣΠΕΡΙΝΟ,100,Δ/ΝΣΗ Δ.Ε. ΑΙΤ-ΝΙΑΣ,ΠΑΠΑΣΤΡΑΤΟΥ,ΑΓΡΙΝΙΟ,30100
